iter	RMSE
2500	62253.47316
2501	62243.38661
2502	62233.09901
2503	62223.87217
2504	62217.23481
2505	62206.36632
2506	62197.63202
2507	62184.92267
2508	62178.41223
2509	62170.32667
2510	62170.14043
2511	62167.06687
2512	62150.31714
2513	62146.64932
2514	62142.76129
2515	62138.86244
2516	62129.08815
2517	62121.2907
2518	62113.34126
2519	62095.17348
2520	62084.57997
2521	62073.70508
2522	62073.50782
2523	62063.74732
2524	62053.47821
2525	62044.29783
2526	62034.90093
2527	62028.89392
2528	62025.48641
2529	62022.21973
2530	62012.21299
2531	62003.91845
2532	61993.0135
2533	61982.3371
2534	61970.54627
2535	61962.35644
2536	61951.80199
2537	61944.2848
2538	61934.07446
2539	61924.66402
2540	61915.01891
2541	61906.82185
2542	61897.90311
2543	61888.68136
2544	61884.88483
2545	61874.38701
2546	61862.17499
2547	61857.09089
2548	61849.22964
2549	61833.19488
2550	61826.44113
2551	61818.64596
2552	61812.81543
2553	61804.37466
2554	61792.41591
2555	61783.70412
2556	61772.68715
2557	61764.11989
2558	61756.7506
2559	61747.63606
2560	61740.26223
2561	61729.12253
2562	61720.22778
2563	61709.44814
2564	61698.25657
2565	61694.75423
2566	61682.91039
2567	61667.18504
2568	61657.18615
2569	61649.54169
2570	61646.63238
2571	61638.57468
2572	61632.06894
2573	61631.88034
2574	61628.38797
2575	61619.3793
2576	61610.02086
2577	61598.97775
2578	61589.25859
2579	61579.74748
2580	61570.55941
2581	61562.38742
2582	61552.96012
2583	61546.73836
2584	61537.87389
2585	61530.27859
2586	61518.96632
2587	61514.51739
2588	61507.48247
2589	61504.26305
2590	61496.60229
2591	61493.43568
2592	61485.00482
2593	61477.96852
2594	61471.84494
2595	61470.09734
2596	61463.59573
2597	61457.22339
2598	61449.75831
2599	61440.69494
2600	61437.59625
2601	61428.31462
2602	61412.98648
2603	61401.2961
2604	61397.85694
2605	61388.76177
2606	61380.89346
2607	61370.78707
2608	61364.3322
2609	61356.40557
2610	61348.87515
2611	61342.1083
2612	61331.39743
2613	61331.21601
2614	61322.32038
2615	61314.51535
2616	61307.73986
2617	61300.63531
2618	61298.70455
2619	61295.61246
2620	61283.5032
2621	61274.71157
2622	61268.53651
2623	61265.52204
2624	61256.31051
2625	61253.06663
2626	61244.48565
2627	61236.17914
2628	61230.89896
2629	61223.28529
2630	61211.83474
2631	61202.5544
2632	61194.76495
2633	61186.15667
2634	61182.44672
2635	61175.43454
2636	61173.21628
2637	61161.68819
2638	61157.89596
2639	61153.67902
2640	61147.49513
2641	61137.77047
2642	61131.42684
2643	61120.84352
2644	61109.18748
2645	61101.45223
2646	61090.71858
2647	61080.48211
2648	61071.10342
2649	61064.65421
2650	61053.75684
2651	61047.67713
